table,variable,themes
female_respondent,CaseID,identity_design_weight
female_respondent,RSCRAGE,demographics_social
female_respondent,RSCRHISP,demographics_social
female_respondent,RSCRRACE,demographics_social
female_respondent,AGE_R,demographics_social
female_respondent,AGESCRN,demographics_social
female_respondent,HISP,demographics_social
female_respondent,HISPGRP,demographics_social
female_respondent,NUMCHILD,pregnancy_fertility_history
female_respondent,HHKIDS18,pregnancy_fertility_history
female_respondent,NONBIOKIDS,pregnancy_fertility_history
female_respondent,MARSTAT,partnership_marriage
female_respondent,LMARSTAT,partnership_marriage
female_respondent,RMARIT,partnership_marriage
female_respondent,EVRMARRY,partnership_marriage
female_respondent,SSMARCOH,partnership_marriage
female_respondent,MANREL,partnership_marriage
female_respondent,PARMARR,partnership_marriage
female_respondent,FOSTEREV,contraception_sexual
female_respondent,MNYFSTER,contraception_sexual
female_respondent,DURFSTER,contraception_sexual
female_respondent,AGEFSTER,demographics_social|contraception_sexual
female_respondent,MARSTATB,partnership_marriage
female_respondent,EVCOHABB,partnership_marriage
female_respondent,FMARIT,partnership_marriage
female_respondent,MENARCHE,pregnancy_fertility_history
female_respondent,CURRPREG,pregnancy_fertility_history
female_respondent,LASTPREG,pregnancy_fertility_history
female_respondent,BIRTH1,pregnancy_fertility_history
female_respondent,OTHERKID,pregnancy_fertility_history
female_respondent,NOTHRKID,pregnancy_fertility_history
female_respondent,NBKIDLIV,pregnancy_fertility_history
female_respondent,NBKIDSEX_01,pregnancy_fertility_history|contraception_sexual
female_respondent,NBKIDREL_01,pregnancy_fertility_history
female_respondent,NBKDAGE_01,demographics_social
female_respondent,TRYADOPT_01,pregnancy_fertility_history|fertility_services_art
female_respondent,TRYEITHR_01,pregnancy_fertility_history
female_respondent,NBKIDFOS_01,pregnancy_fertility_history
female_respondent,NBKIDSEX_02,pregnancy_fertility_history|contraception_sexual
female_respondent,NBKIDREL_02,pregnancy_fertility_history
female_respondent,NBKDAGE_02,demographics_social
female_respondent,TRYADOPT_02,pregnancy_fertility_history|fertility_services_art
female_respondent,TRYEITHR_02,pregnancy_fertility_history
female_respondent,NBKIDFOS_02,pregnancy_fertility_history
female_respondent,NBKIDSEX_03,pregnancy_fertility_history|contraception_sexual
female_respondent,NBKIDREL_03,pregnancy_fertility_history
female_respondent,NBKDAGE_03,demographics_social
female_respondent,TRYADOPT_03,pregnancy_fertility_history|fertility_services_art
female_respondent,TRYEITHR_03,pregnancy_fertility_history
female_respondent,NBKIDFOS_03,pregnancy_fertility_history
female_respondent,EVERADOPT,fertility_services_art
female_respondent,BD_ADOPT,fertility_services_art
female_respondent,CONTAGEM,demographics_social|contraception_sexual
female_respondent,TRYLONG,pregnancy_fertility_history
female_respondent,EVCONTAG,contraception_sexual
female_respondent,YQUITTRY,pregnancy_fertility_history
female_respondent,HRDEMBRYO,fertility_services_art
female_respondent,SRCEMBRYO_1,fertility_services_art
female_respondent,SRCEMBRYO_2,fertility_services_art
female_respondent,SRCEMBRYO_3,fertility_services_art
female_respondent,SRCEMBRYO_4,fertility_services_art
female_respondent,SRCEMBRYO_5,fertility_services_art
female_respondent,FMARRDATE_Y,partnership_marriage
female_respondent,HERAGEFM,demographics_social
female_respondent,HERAGEF,demographics_social
female_respondent,WILLMARRF,partnership_marriage
female_respondent,CFSPEDUCN,demographics_social
female_respondent,CFSPMARBF,partnership_marriage
female_respondent,SSKIDTOG,pregnancy_fertility_history
female_respondent,NSSKIDTOG,pregnancy_fertility_history
female_respondent,SSKIDTOG18,pregnancy_fertility_history
female_respondent,WHMARHX_Y_1,partnership_marriage
female_respondent,HXAGEMAR_1,demographics_social|partnership_marriage
female_respondent,ENGAGHX_1,partnership_marriage
female_respondent,CHEDMARN_1,partnership_marriage
female_respondent,MARBEFHX_1,partnership_marriage
female_respondent,KIDSHX_1,pregnancy_fertility_history
female_respondent,KIDLIVHX_1,pregnancy_fertility_history
female_respondent,BIOHUSBX_1,partnership_marriage
female_respondent,MARENDHX_1,partnership_marriage
female_respondent,ENDMARRX_Y_1,partnership_marriage
female_respondent,WHMARHX_Y_2,partnership_marriage
female_respondent,HXAGEMAR_2,demographics_social|partnership_marriage
female_respondent,ENGAGHX_2,partnership_marriage
female_respondent,CHEDMARN_2,partnership_marriage
female_respondent,MARBEFHX_2,partnership_marriage
female_respondent,KIDSHX_2,pregnancy_fertility_history
female_respondent,KIDLIVHX_2,pregnancy_fertility_history
female_respondent,BIOHUSBX_2,partnership_marriage
female_respondent,MARENDHX_2,partnership_marriage
female_respondent,ENDMARRX_Y_2,partnership_marriage
female_respondent,WHMARHX_Y_3,partnership_marriage
female_respondent,HXAGEMAR_3,demographics_social|partnership_marriage
female_respondent,ENGAGHX_3,partnership_marriage
female_respondent,CHEDMARN_3,partnership_marriage
female_respondent,MARBEFHX_3,partnership_marriage
female_respondent,KIDSHX_3,pregnancy_fertility_history
female_respondent,KIDLIVHX_3,pregnancy_fertility_history
female_respondent,BIOHUSBX_3,partnership_marriage
female_respondent,MARENDHX_3,partnership_marriage
female_respondent,ENDMARRX_Y_3,partnership_marriage
female_respondent,WHMARHX_Y_4,partnership_marriage
female_respondent,HXAGEMAR_4,demographics_social|partnership_marriage
female_respondent,ENGAGHX_4,partnership_marriage
female_respondent,CHEDMARN_4,partnership_marriage
female_respondent,MARBEFHX_4,partnership_marriage
female_respondent,KIDSHX_4,pregnancy_fertility_history
female_respondent,KIDLIVHX_4,pregnancy_fertility_history
female_respondent,BIOHUSBX_4,partnership_marriage
female_respondent,MARENDHX_4,partnership_marriage
female_respondent,ENDMARRX_Y_4,partnership_marriage
female_respondent,WHMARHX_Y_5,partnership_marriage
female_respondent,HXAGEMAR_5,demographics_social|partnership_marriage
female_respondent,ENGAGHX_5,partnership_marriage
female_respondent,CHEDMARN_5,partnership_marriage
female_respondent,MARBEFHX_5,partnership_marriage
female_respondent,KIDSHX_5,pregnancy_fertility_history
female_respondent,KIDLIVHX_5,pregnancy_fertility_history
female_respondent,BIOHUSBX_5,partnership_marriage
female_respondent,MARENDHX_5,partnership_marriage
female_respondent,ENDMARRX_Y_5,partnership_marriage
female_respondent,CMMARRCH,partnership_marriage
female_respondent,PREVHUSB,partnership_marriage
female_respondent,CPHERAGE,demographics_social
female_respondent,CPHISAGE,demographics_social
female_respondent,CPENGAG1,partnership_marriage
female_respondent,WILLMARR,partnership_marriage
female_respondent,CPEDUC,demographics_social
female_respondent,CPMARBEF,partnership_marriage
female_respondent,CPKIDS,pregnancy_fertility_history
female_respondent,CPKIDLIV,pregnancy_fertility_history
female_respondent,EVRCOHAB,partnership_marriage
female_respondent,HERAGEC1,demographics_social
female_respondent,HISAGEC1,demographics_social
female_respondent,ENGAG1C1,partnership_marriage
female_respondent,MAREVC1,partnership_marriage
female_respondent,C1KIDS,pregnancy_fertility_history
female_respondent,EVERSEX,contraception_sexual
female_respondent,RHADSEX,contraception_sexual
female_respondent,YNOSEX,contraception_sexual
female_respondent,LSTSEXFP_M,contraception_sexual
female_respondent,LSTSEXFP_Y,contraception_sexual
female_respondent,CMLSEXFP,contraception_sexual
female_respondent,FPEDUC,demographics_social
female_respondent,SEXAFMEN,contraception_sexual
female_respondent,PTSB4MAR,partnership_marriage
female_respondent,P1YLSEX_M,contraception_sexual
female_respondent,P1YLSEX_Y,contraception_sexual
female_respondent,CMLSEX1,contraception_sexual
female_respondent,P1YLSEX_M2,contraception_sexual
female_respondent,P1YLSEX_Y2,contraception_sexual
female_respondent,CMLSEX2,contraception_sexual
female_respondent,P1YLSEX_M3,contraception_sexual
female_respondent,P1YLSEX_Y3,contraception_sexual
female_respondent,CMLSEX3,contraception_sexual
female_respondent,P1YRAGE,demographics_social
female_respondent,P1YHSAGE,demographics_social
female_respondent,P1YFSEX_M,contraception_sexual
female_respondent,P1YFSEX_Y,contraception_sexual
female_respondent,CMFSEX,contraception_sexual
female_respondent,CMFSEXTOT,contraception_sexual
female_respondent,P1YEDUC,demographics_social
female_respondent,P1YRAGE2,demographics_social
female_respondent,P1YHSAGE2,demographics_social
female_respondent,P1YFSEX_M2,contraception_sexual
female_respondent,P1YFSEX_Y2,contraception_sexual
female_respondent,CMFSEX2,contraception_sexual
female_respondent,CMFSEXTOT2,contraception_sexual
female_respondent,P1YEDUC2,demographics_social
female_respondent,P1YRAGE3,demographics_social
female_respondent,P1YHSAGE3,demographics_social
female_respondent,P1YFSEX_M3,contraception_sexual
female_respondent,P1YFSEX_Y3,contraception_sexual
female_respondent,CMFSEX3,contraception_sexual
female_respondent,CMFSEXTOT3,contraception_sexual
female_respondent,P1YEDUC3,demographics_social
female_respondent,OTHSTER,contraception_sexual
female_respondent,ANYFSTER,contraception_sexual
female_respondent,RWANTRVT,pregnancy_intention_outcome
female_respondent,MANWANTT,pregnancy_intention_outcome
female_respondent,RWANTREV,pregnancy_intention_outcome
female_respondent,MANWANTR,pregnancy_intention_outcome
female_respondent,PREGNONO,pregnancy_fertility_history
female_respondent,TRYPREG12,pregnancy_fertility_history
female_respondent,PILL,contraception_sexual
female_respondent,MORNPILL,contraception_sexual
female_respondent,IUD,contraception_sexual
female_respondent,EVIUDTYP1,contraception_sexual
female_respondent,EVIUDTYP2,contraception_sexual
female_respondent,EVCIUDEC,contraception_sexual
female_respondent,OTHRMETH01,contraception_sexual
female_respondent,OTHRMETH02,contraception_sexual
female_respondent,OTHRMETH03,contraception_sexual
female_respondent,OTHRMETH04,contraception_sexual
female_respondent,OTHRMETH05,contraception_sexual
female_respondent,OTHRMETH06,contraception_sexual
female_respondent,METHDISS,contraception_sexual
female_respondent,METHSTOP01,contraception_sexual
female_respondent,METHSTOP02,contraception_sexual
female_respondent,METHSTOP03,contraception_sexual
female_respondent,METHSTOP04,contraception_sexual
female_respondent,METHSTOP05,contraception_sexual
female_respondent,METHSTOP06,contraception_sexual
