method,endpoint,test_n,n_clusters,min_cluster_proportion,bootstrap_ari_mean,bootstrap_ari_sd,max_prevalence_ratio,max_abs_risk_difference
SSL embedding + k-means,adverse_pregnancy_history_proxy,4893,3,0.049458409973431434,0.9525032567428933,0.09313820089357398,4.125924327798588,0.168032766016008
SSL embedding + k-means,contraceptive_vulnerability,4893,3,0.049458409973431434,0.9525032567428933,0.09313820089357398,1.3289788335924706,0.02569524704809277
SSL embedding + k-means,fertility_service_or_loss_help,4893,3,0.049458409973431434,0.9525032567428933,0.09313820089357398,1.6715642569453535,0.07454882637190455
SSL embedding + k-means,impaired_fecundity_status,4893,3,0.049458409973431434,0.9525032567428933,0.09313820089357398,1.4584995833861345,0.1289807149537182
SSL embedding + k-means,unintended_mistimed_pregnancy_history,4893,3,0.049458409973431434,0.9525032567428933,0.09313820089357398,2.2329840963617995,0.42179267277915306
Raw matrix PCA + k-means,adverse_pregnancy_history_proxy,4893,3,0.001430615164520744,0.7354279488837568,0.17659495757214366,2.0070144560213277,0.0541316445054623
Raw matrix PCA + k-means,contraceptive_vulnerability,4893,3,0.001430615164520744,0.7354279488837568,0.17659495757214366,1.2893238434742524,0.02259795122315976
Raw matrix PCA + k-means,fertility_service_or_loss_help,4893,3,0.001430615164520744,0.7354279488837568,0.17659495757214366,4.571780228214297,0.3964952293365076
Raw matrix PCA + k-means,impaired_fecundity_status,4893,3,0.001430615164520744,0.7354279488837568,0.17659495757214366,1.3854372474845733,0.11489783926301375
Raw matrix PCA + k-means,unintended_mistimed_pregnancy_history,4893,3,0.001430615164520744,0.7354279488837568,0.17659495757214366,1.9918900289490473,0.3393165797092695
MCA-style one-hot SVD + k-means,adverse_pregnancy_history_proxy,4893,3,0.2752912323727774,0.7741117888268356,0.26669440165838193,1.5711360562487984,0.05358821167967656
MCA-style one-hot SVD + k-means,contraceptive_vulnerability,4893,3,0.2752912323727774,0.7741117888268356,0.26669440165838193,1.449162842553509,0.04762188804050124
MCA-style one-hot SVD + k-means,fertility_service_or_loss_help,4893,3,0.2752912323727774,0.7741117888268356,0.26669440165838193,1.9166336255707666,0.10175342164597201
MCA-style one-hot SVD + k-means,impaired_fecundity_status,4893,3,0.2752912323727774,0.7741117888268356,0.26669440165838193,1.467069614200497,0.15152080709981572
MCA-style one-hot SVD + k-means,unintended_mistimed_pregnancy_history,4893,3,0.2752912323727774,0.7741117888268356,0.26669440165838193,1.4693933298686706,0.3328555022162011
Selected-variable Bernoulli LCA,adverse_pregnancy_history_proxy,4893,3,0.1847537298181075,0.9037727747748171,0.18231928685535667,1.6610217039205106,0.04625621686039456
Selected-variable Bernoulli LCA,contraceptive_vulnerability,4893,3,0.1847537298181075,0.9037727747748171,0.18231928685535667,1.3210111271238658,0.047518051514609735
Selected-variable Bernoulli LCA,fertility_service_or_loss_help,4893,3,0.1847537298181075,0.9037727747748171,0.18231928685535667,1.6187946055879032,0.08741450689120622
Selected-variable Bernoulli LCA,impaired_fecundity_status,4893,3,0.1847537298181075,0.9037727747748171,0.18231928685535667,1.4223300517819057,0.131301395109217
Selected-variable Bernoulli LCA,unintended_mistimed_pregnancy_history,4893,3,0.1847537298181075,0.9037727747748171,0.18231928685535667,1.4586239513528931,0.2723790418055001
