subgroup_type,subgroup,phenotype,n,weighted_phenotype_prevalence
age_group,15-24,0,1165,0.8829634114799084
age_group,15-24,1,155,0.10873456268639604
age_group,15-24,2,16,0.008302025833695457
age_group,25-34,0,824,0.459757822758113
age_group,25-34,1,924,0.4947766990551672
age_group,25-34,2,83,0.04546547818671972
age_group,35-44,0,438,0.20463798187660184
age_group,35-44,1,1145,0.7030312798270186
age_group,35-44,2,143,0.09233073829637946
race_ethnicity,1,0,546,0.4960682710788479
race_ethnicity,1,1,477,0.4283601343453524
race_ethnicity,1,2,67,0.07557159457579958
race_ethnicity,2,0,1202,0.5206059737862391
race_ethnicity,2,1,1154,0.4502766099909034
race_ethnicity,2,2,84,0.029117416222857437
race_ethnicity,3,0,325,0.46774347663331917
race_ethnicity,3,1,360,0.4763460530874552
race_ethnicity,3,2,49,0.05591047027922561
race_ethnicity,4,0,354,0.5633051623077358
race_ethnicity,4,1,233,0.35966144929889166
race_ethnicity,4,2,42,0.07703338839337262
poverty_group,100-199% FPL,0,413,0.44858440996007226
poverty_group,100-199% FPL,1,478,0.48995474896508723
poverty_group,100-199% FPL,2,54,0.06146084107484061
poverty_group,<100% FPL,0,395,0.43236124484239025
poverty_group,<100% FPL,1,478,0.47754299849788195
poverty_group,<100% FPL,2,92,0.09009575665972784
poverty_group,>=200% FPL,0,1619,0.5597906685071256
poverty_group,>=200% FPL,1,1268,0.4083143942992137
poverty_group,>=200% FPL,2,96,0.03189493719366089
insurance,1,0,1510,0.5394012504667989
insurance,1,1,1286,0.4268140997507297
insurance,1,2,101,0.03378464978247145
insurance,2,0,453,0.42924908655254673
insurance,2,1,566,0.4857447601835249
insurance,2,2,92,0.08500615326392834
insurance,3,0,195,0.5865979104775141
insurance,3,1,141,0.37476726218650264
insurance,3,2,13,0.03863482733598329
insurance,4,0,269,0.5107223481892781
insurance,4,1,231,0.42977650437350273
insurance,4,2,36,0.05950114743721925
parity_group,0,0,2385,0.9130247887243548
parity_group,0,1,227,0.07557388237124638
parity_group,0,2,30,0.011401328904398583
parity_group,1-2,0,36,0.024361710955771176
parity_group,1-2,1,1448,0.9030182829742767
parity_group,1-2,2,115,0.07262000606995221
parity_group,>=3,0,6,0.01431270900982871
parity_group,>=3,1,549,0.8427242775356333
parity_group,>=3,2,97,0.14296301345453805
