analysis_set,method,endpoint,group,n,events,weighted_prevalence,baseline_weighted_prevalence,prevalence_ratio,risk_difference,group_share
full analytic cohort,SSL phenotype,contraceptive_vulnerability,P0,2427,146,0.05642644358820258,0.07810607985777983,0.7224334352837473,-0.02167963626957725,0.4960147148988351
full analytic cohort,SSL phenotype,contraceptive_vulnerability,P1,2224,238,0.1038013269058726,0.07810607985777983,1.3289788335924706,0.02569524704809277,0.4545268751277335
full analytic cohort,SSL phenotype,contraceptive_vulnerability,P2,242,21,0.07601500934349482,0.07810607985777983,0.9732278137874472,-0.002091070514285004,0.049458409973431434
full analytic cohort,SSL phenotype,fertility_service_or_loss_help,P0,2427,114,0.04312198472329802,0.11100773395980593,0.3884592828362011,-0.0678857492365079,0.4960147148988351
full analytic cohort,SSL phenotype,fertility_service_or_loss_help,P1,2224,397,0.18240484109956792,0.11100773395980593,1.6431723682028652,0.071397107139762,0.4545268751277335
full analytic cohort,SSL phenotype,fertility_service_or_loss_help,P2,242,44,0.18555656033171047,0.11100773395980593,1.6715642569453535,0.07454882637190455,0.049458409973431434
full analytic cohort,SSL phenotype,unintended_mistimed_pregnancy_history,P0,2427,51,0.023098948099806595,0.3420909272258648,0.06752283168432456,-0.3189919791260582,0.4960147148988351
full analytic cohort,SSL phenotype,unintended_mistimed_pregnancy_history,P1,2224,1506,0.669593266728918,0.3420909272258648,1.9573546488323568,0.32750233950305313,0.4545268751277335
full analytic cohort,SSL phenotype,unintended_mistimed_pregnancy_history,P2,242,181,0.7638836000050179,0.3420909272258648,2.2329840963617995,0.42179267277915306,0.049458409973431434
full analytic cohort,SSL phenotype,adverse_pregnancy_history_proxy,P0,2427,7,0.005015724565161978,0.05375458533071529,0.09330784591311879,-0.04873886076555331,0.4960147148988351
full analytic cohort,SSL phenotype,adverse_pregnancy_history_proxy,P1,2224,219,0.09221760584599589,0.05375458533071529,1.7155300385752001,0.0384630205152806,0.4545268751277335
full analytic cohort,SSL phenotype,adverse_pregnancy_history_proxy,P2,242,48,0.22178735134672328,0.05375458533071529,4.125924327798588,0.168032766016008,0.049458409973431434
full analytic cohort,SSL phenotype,impaired_fecundity_status,P0,2427,466,0.17848133407804492,0.2813104299924621,0.6344639766212276,-0.10282909591441716,0.4960147148988351
full analytic cohort,SSL phenotype,impaired_fecundity_status,P1,2224,807,0.38766369409840573,0.2813104299924621,1.3780637074451647,0.10635326410594365,0.4545268751277335
full analytic cohort,SSL phenotype,impaired_fecundity_status,P2,242,94,0.4102911449461803,0.2813104299924621,1.4584995833861345,0.1289807149537182,0.049458409973431434
full analytic cohort,Age x parity strata,contraceptive_vulnerability,15-24 / parity 0,1205,54,0.03858343364772091,0.07810607985777983,0.4939875835271199,-0.039522646210058916,0.2462701818924995
full analytic cohort,Age x parity strata,contraceptive_vulnerability,15-24 / parity 1-2,120,19,0.1552457462758725,0.07810607985777983,1.987626911484396,0.07713966641809268,0.024524831391784182
full analytic cohort,Age x parity strata,contraceptive_vulnerability,15-24 / parity 3+,11,1,0.07991355530215057,0.07810607985777983,1.0231412899951182,0.0018074754443707375,0.002248109544246883
full analytic cohort,Age x parity strata,contraceptive_vulnerability,25-34 / parity 0,932,79,0.09015445557021573,0.07810607985777983,1.1542565666382731,0.012048375712435902,0.19047619047619047
full analytic cohort,Age x parity strata,contraceptive_vulnerability,25-34 / parity 1-2,658,82,0.12390621151889467,0.07810607985777983,1.5863836943873053,0.04580013166111484,0.13447782546494993
full analytic cohort,Age x parity strata,contraceptive_vulnerability,25-34 / parity 3+,241,29,0.10754150312313794,0.07810607985777983,1.3768646860648477,0.029435423265358113,0.0492540363784999
full analytic cohort,Age x parity strata,contraceptive_vulnerability,35-44 / parity 0,505,31,0.07175090267281718,0.07810607985777983,0.9186340269984804,-0.006355177184962646,0.10320866544042509
full analytic cohort,Age x parity strata,contraceptive_vulnerability,35-44 / parity 1-2,821,74,0.07710081001020731,0.07810607985777983,0.9871294289842357,-0.0010052698475725153,0.16779072143879012
full analytic cohort,Age x parity strata,contraceptive_vulnerability,35-44 / parity 3+,400,36,0.09313982167922917,0.07810607985777983,1.192478509340421,0.015033741821449342,0.08174943797261394
full analytic cohort,Age x parity strata,fertility_service_or_loss_help,15-24 / parity 0,1205,22,0.015071796929755967,0.11100773395980593,0.13577249433100955,-0.09593593703004996,0.2462701818924995
full analytic cohort,Age x parity strata,fertility_service_or_loss_help,15-24 / parity 1-2,120,14,0.11627481647958741,0.11100773395980593,1.047447887925436,0.005267082519781488,0.024524831391784182
full analytic cohort,Age x parity strata,fertility_service_or_loss_help,15-24 / parity 3+,11,0,0.0,0.11100773395980593,0.0,-0.11100773395980593,0.002248109544246883
full analytic cohort,Age x parity strata,fertility_service_or_loss_help,25-34 / parity 0,932,58,0.07445961930191823,0.11100773395980593,0.6707606456400491,-0.036548114657887695,0.19047619047619047
full analytic cohort,Age x parity strata,fertility_service_or_loss_help,25-34 / parity 1-2,658,102,0.15200126992801918,0.11100773395980593,1.3692854047723948,0.04099353596821326,0.13447782546494993
full analytic cohort,Age x parity strata,fertility_service_or_loss_help,25-34 / parity 3+,241,22,0.08002418697275376,0.11100773395980593,0.7208883932513135,-0.030983546987052163,0.0492540363784999
full analytic cohort,Age x parity strata,fertility_service_or_loss_help,35-44 / parity 0,505,87,0.1990145453533684,0.11100773395980593,1.792798918185541,0.08800681139356248,0.10320866544042509
full analytic cohort,Age x parity strata,fertility_service_or_loss_help,35-44 / parity 1-2,821,181,0.21458238031115145,0.11100773395980593,1.9330399122357385,0.10357464635134553,0.16779072143879012
full analytic cohort,Age x parity strata,fertility_service_or_loss_help,35-44 / parity 3+,400,69,0.19761026863998088,0.11100773395980593,1.780148658034334,0.08660253468017495,0.08174943797261394
full analytic cohort,Age x parity strata,unintended_mistimed_pregnancy_history,15-24 / parity 0,1205,41,0.03159340770414645,0.3420909272258648,0.09235383107160562,-0.31049751952171833,0.2462701818924995
full analytic cohort,Age x parity strata,unintended_mistimed_pregnancy_history,15-24 / parity 1-2,120,93,0.8071247537262886,0.3420909272258648,2.3593866118331346,0.46503382650042374,0.024524831391784182
full analytic cohort,Age x parity strata,unintended_mistimed_pregnancy_history,15-24 / parity 3+,11,11,1.0,0.3420909272258648,2.9231994198424096,0.6579090727741352,0.002248109544246883
full analytic cohort,Age x parity strata,unintended_mistimed_pregnancy_history,25-34 / parity 0,932,104,0.10571611023562734,0.3420909272258648,0.30902927210878206,-0.2363748169902375,0.19047619047619047
full analytic cohort,Age x parity strata,unintended_mistimed_pregnancy_history,25-34 / parity 1-2,658,432,0.6305782402133632,0.3420909272258648,1.8433059459569507,0.28848731298749836,0.13447782546494993
full analytic cohort,Age x parity strata,unintended_mistimed_pregnancy_history,25-34 / parity 3+,241,193,0.7905011101238075,0.3420909272258648,2.310792386498695,0.4484101828979427,0.0492540363784999
full analytic cohort,Age x parity strata,unintended_mistimed_pregnancy_history,35-44 / parity 0,505,75,0.1618207032069809,0.3420909272258648,0.47303418573313727,-0.18027022401888393,0.10320866544042509
full analytic cohort,Age x parity strata,unintended_mistimed_pregnancy_history,35-44 / parity 1-2,821,463,0.5567245062181644,0.3420909272258648,1.62741675358899,0.21463357899229957,0.16779072143879012
full analytic cohort,Age x parity strata,unintended_mistimed_pregnancy_history,35-44 / parity 3+,400,326,0.8172599471565535,0.3420909272258648,2.3890138033884756,0.47516901993068866,0.08174943797261394
full analytic cohort,Age x parity strata,adverse_pregnancy_history_proxy,15-24 / parity 0,1205,0,0.0,0.05375458533071529,0.0,-0.05375458533071529,0.2462701818924995
full analytic cohort,Age x parity strata,adverse_pregnancy_history_proxy,15-24 / parity 1-2,120,14,0.06966299992864841,0.05375458533071529,1.2959452575079782,0.015908414597933122,0.024524831391784182
full analytic cohort,Age x parity strata,adverse_pregnancy_history_proxy,15-24 / parity 3+,11,4,0.23655810278625825,0.05375458533071529,4.400705564574215,0.18280351745554296,0.002248109544246883
full analytic cohort,Age x parity strata,adverse_pregnancy_history_proxy,25-34 / parity 0,932,9,0.009931791433317978,0.05375458533071529,0.1847617532944295,-0.04382279389739731,0.19047619047619047
full analytic cohort,Age x parity strata,adverse_pregnancy_history_proxy,25-34 / parity 1-2,658,62,0.0972181213962693,0.05375458533071529,1.8085549502084803,0.04346353606555401,0.13447782546494993
full analytic cohort,Age x parity strata,adverse_pregnancy_history_proxy,25-34 / parity 3+,241,34,0.14918302923878085,0.05375458533071529,2.77526146506311,0.09542844390806557,0.0492540363784999
full analytic cohort,Age x parity strata,adverse_pregnancy_history_proxy,35-44 / parity 0,505,5,0.01988123829170186,0.05375458533071529,0.3698519515941973,-0.03387334703901343,0.10320866544042509
full analytic cohort,Age x parity strata,adverse_pregnancy_history_proxy,35-44 / parity 1-2,821,84,0.09352239582249952,0.05375458533071529,1.7398031302282406,0.03976781049178423,0.16779072143879012
full analytic cohort,Age x parity strata,adverse_pregnancy_history_proxy,35-44 / parity 3+,400,62,0.15659385876100007,0.05375458533071529,2.913125602171143,0.10283927343028479,0.08174943797261394
full analytic cohort,Age x parity strata,impaired_fecundity_status,15-24 / parity 0,1205,145,0.12649886942401534,0.2813104299924621,0.4496771393346666,-0.15481156056844675,0.2462701818924995
full analytic cohort,Age x parity strata,impaired_fecundity_status,15-24 / parity 1-2,120,22,0.18442570575056774,0.2813104299924621,0.6555949800919559,-0.09688472424189434,0.024524831391784182
full analytic cohort,Age x parity strata,impaired_fecundity_status,15-24 / parity 3+,11,3,0.21360979553528261,0.2813104299924621,0.7593383421333025,-0.06770063445717947,0.002248109544246883
full analytic cohort,Age x parity strata,impaired_fecundity_status,25-34 / parity 0,932,207,0.22139700510168395,0.2813104299924621,0.7870202505737751,-0.05991342489077814,0.19047619047619047
full analytic cohort,Age x parity strata,impaired_fecundity_status,25-34 / parity 1-2,658,166,0.26300046299187485,0.2813104299924621,0.9349118800853639,-0.018309967000587235,0.13447782546494993
full analytic cohort,Age x parity strata,impaired_fecundity_status,25-34 / parity 3+,241,81,0.37763807546635153,0.2813104299924621,1.3424247208909765,0.09632764547388944,0.0492540363784999
full analytic cohort,Age x parity strata,impaired_fecundity_status,35-44 / parity 0,505,181,0.34911484015437466,0.2813104299924621,1.2410305588873098,0.06780441016191258,0.10320866544042509
full analytic cohort,Age x parity strata,impaired_fecundity_status,35-44 / parity 1-2,821,366,0.47391313984911104,0.2813104299924621,1.6846625269521998,0.19260270985664896,0.16779072143879012
full analytic cohort,Age x parity strata,impaired_fecundity_status,35-44 / parity 3+,400,196,0.5041969097793172,0.2813104299924621,1.7923150229190845,0.2228864797868551,0.08174943797261394
full analytic cohort,Age x ever-pregnant strata,contraceptive_vulnerability,15-24 / ever pregnant,181,23,0.11606052988123818,0.07810607985777983,1.4859346428929483,0.03795445002345835,0.036991620682607806
full analytic cohort,Age x ever-pregnant strata,contraceptive_vulnerability,15-24 / no pregnancy record,1155,51,0.03916722460190993,0.07810607985777983,0.5014619178587368,-0.038938855255869896,0.23605150214592274
full analytic cohort,Age x ever-pregnant strata,contraceptive_vulnerability,25-34 / ever pregnant,1031,125,0.11957882423797705,0.07810607985777983,1.5309797195776982,0.04147274438019723,0.21070917637441242
full analytic cohort,Age x ever-pregnant strata,contraceptive_vulnerability,25-34 / no pregnancy record,800,65,0.08507333554796899,0.07810607985777983,1.0892024756955612,0.006967255690189161,0.16349887594522788
full analytic cohort,Age x ever-pregnant strata,contraceptive_vulnerability,35-44 / ever pregnant,1313,117,0.08383614007549763,0.07810607985777983,1.073362537566236,0.005730060217717797,0.26834253014510523
full analytic cohort,Age x ever-pregnant strata,contraceptive_vulnerability,35-44 / no pregnancy record,413,24,0.06547171034885974,0.07810607985777983,0.8382408958185393,-0.012634369508920093,0.0844062947067239
full analytic cohort,Age x ever-pregnant strata,fertility_service_or_loss_help,15-24 / ever pregnant,181,20,0.116895883109891,0.11100773395980593,1.05304269297324,0.0058881491500850786,0.036991620682607806
full analytic cohort,Age x ever-pregnant strata,fertility_service_or_loss_help,15-24 / no pregnancy record,1155,16,0.010292508640176785,0.11100773395980593,0.09271884285020658,-0.10071522531962915,0.23605150214592274
full analytic cohort,Age x ever-pregnant strata,fertility_service_or_loss_help,25-34 / ever pregnant,1031,151,0.14528799054925998,0.11100773395980593,1.3088096240381446,0.03428025658945405,0.21070917637441242
full analytic cohort,Age x ever-pregnant strata,fertility_service_or_loss_help,25-34 / no pregnancy record,800,31,0.04805755927498123,0.11100773395980593,0.43292082056536785,-0.0629501746848247,0.16349887594522788
full analytic cohort,Age x ever-pregnant strata,fertility_service_or_loss_help,35-44 / ever pregnant,1313,280,0.21645987848141846,0.11100773395980593,1.9499531317322,0.10545214452161253,0.26834253014510523
full analytic cohort,Age x ever-pregnant strata,fertility_service_or_loss_help,35-44 / no pregnancy record,413,57,0.16098631007450825,0.11100773395980593,1.4502260728319951,0.04997857611470233,0.0844062947067239
full analytic cohort,Age x ever-pregnant strata,unintended_mistimed_pregnancy_history,15-24 / ever pregnant,181,145,0.8196582188239782,0.3420909272258648,2.396024429735316,0.47756729159811334,0.036991620682607806
full analytic cohort,Age x ever-pregnant strata,unintended_mistimed_pregnancy_history,15-24 / no pregnancy record,1155,0,0.0,0.3420909272258648,0.0,-0.3420909272258648,0.23605150214592274
full analytic cohort,Age x ever-pregnant strata,unintended_mistimed_pregnancy_history,25-34 / ever pregnant,1031,729,0.6876470880867893,0.3420909272258648,2.010129568951625,0.3455561608609245,0.21070917637441242
full analytic cohort,Age x ever-pregnant strata,unintended_mistimed_pregnancy_history,25-34 / no pregnancy record,800,0,0.0,0.3420909272258648,0.0,-0.3420909272258648,0.16349887594522788
full analytic cohort,Age x ever-pregnant strata,unintended_mistimed_pregnancy_history,35-44 / ever pregnant,1313,864,0.6607324754466435,0.3420909272258648,1.9314527888966675,0.31864154822077867,0.26834253014510523
full analytic cohort,Age x ever-pregnant strata,unintended_mistimed_pregnancy_history,35-44 / no pregnancy record,413,0,0.0,0.3420909272258648,0.0,-0.3420909272258648,0.0844062947067239
full analytic cohort,Age x ever-pregnant strata,adverse_pregnancy_history_proxy,15-24 / ever pregnant,181,18,0.05701133323100832,0.05375458533071529,1.0605854901541234,0.003256747900293032,0.036991620682607806
full analytic cohort,Age x ever-pregnant strata,adverse_pregnancy_history_proxy,15-24 / no pregnancy record,1155,0,0.0,0.05375458533071529,0.0,-0.05375458533071529,0.23605150214592274
full analytic cohort,Age x ever-pregnant strata,adverse_pregnancy_history_proxy,25-34 / ever pregnant,1031,105,0.10690005973440234,0.05375458533071529,1.9886686703416872,0.05314547440368705,0.21070917637441242
full analytic cohort,Age x ever-pregnant strata,adverse_pregnancy_history_proxy,25-34 / no pregnancy record,800,0,0.0,0.05375458533071529,0.0,-0.05375458533071529,0.16349887594522788
full analytic cohort,Age x ever-pregnant strata,adverse_pregnancy_history_proxy,35-44 / ever pregnant,1313,151,0.11561089939198677,0.05375458533071529,2.1507169794113707,0.061856314061271477,0.26834253014510523
full analytic cohort,Age x ever-pregnant strata,adverse_pregnancy_history_proxy,35-44 / no pregnancy record,413,0,0.0,0.05375458533071529,0.0,-0.05375458533071529,0.0844062947067239
full analytic cohort,Age x ever-pregnant strata,impaired_fecundity_status,15-24 / ever pregnant,181,40,0.2232640420526836,0.2813104299924621,0.793657178152499,-0.05804638793977848,0.036991620682607806
full analytic cohort,Age x ever-pregnant strata,impaired_fecundity_status,15-24 / no pregnancy record,1155,130,0.11875162193642613,0.2813104299924621,0.42213728776287524,-0.16255880805603595,0.23605150214592274
