variable,source,block,missing_rate
CaseID,female_respondent,id_design,0.0
RSCRAGE,female_respondent,demographics_social,0.0
RSCRHISP,female_respondent,demographics_social,0.0
RSCRRACE,female_respondent,demographics_social,0.0
AGE_R,female_respondent,demographics_social,0.0
AGESCRN,female_respondent,demographics_social,0.0
HISP,female_respondent,demographics_social,0.0
HISPGRP,female_respondent,demographics_social,0.78
NUMCHILD,female_respondent,reproductive_timing,0.0
HHKIDS18,female_respondent,reproductive_timing,0.0
NONBIOKIDS,female_respondent,reproductive_timing,0.0
MARSTAT,female_respondent,partnership_marriage,0.0
LMARSTAT,female_respondent,partnership_marriage,0.3759
RMARIT,female_respondent,partnership_marriage,0.0
EVRMARRY,female_respondent,partnership_marriage,0.0
SSMARCOH,female_respondent,partnership_marriage,0.0
MANREL,female_respondent,partnership_marriage,0.5421
PARMARR,female_respondent,partnership_marriage,0.0
FOSTEREV,female_respondent,contraception_sexual,0.0
MNYFSTER,female_respondent,contraception_sexual,0.9687
DURFSTER,female_respondent,contraception_sexual,0.9687
AGEFSTER,female_respondent,demographics_social,0.9687
MARSTATB,female_respondent,partnership_marriage,0.9928
EVCOHABB,female_respondent,partnership_marriage,0.9857
FMARIT,female_respondent,partnership_marriage,0.0
MENARCHE,female_respondent,reproductive_timing,0.0
CURRPREG,female_respondent,reproductive_timing,0.0
LASTPREG,female_respondent,reproductive_timing,0.4493
BIRTH1,female_respondent,reproductive_timing,0.4569
OTHERKID,female_respondent,reproductive_timing,0.0712
NOTHRKID,female_respondent,reproductive_timing,0.9166
NBKIDLIV,female_respondent,reproductive_timing,0.9191
NBKIDSEX_01,female_respondent,reproductive_timing,0.9647
NBKIDREL_01,female_respondent,reproductive_timing,0.9647
NBKDAGE_01,female_respondent,demographics_social,0.9647
TRYADOPT_01,female_respondent,fertility_services_art,0.993
NBKIDFOS_01,female_respondent,reproductive_timing,0.9819
NBKIDSEX_02,female_respondent,reproductive_timing,0.988
NBKIDREL_02,female_respondent,reproductive_timing,0.988
NBKDAGE_02,female_respondent,demographics_social,0.988
NBKIDFOS_02,female_respondent,reproductive_timing,0.9925
EVERADOPT,female_respondent,fertility_services_art,0.0712
BD_ADOPT,female_respondent,fertility_services_art,0.0712
CONTAGEM,female_respondent,demographics_social,0.9876
EVCONTAG,female_respondent,contraception_sexual,0.7077
HRDEMBRYO,female_respondent,fertility_services_art,0.0712
SRCEMBRYO_1,female_respondent,fertility_services_art,0.3928
SRCEMBRYO_2,female_respondent,fertility_services_art,0.7807
SRCEMBRYO_3,female_respondent,fertility_services_art,0.9151
SRCEMBRYO_4,female_respondent,fertility_services_art,0.9705
FMARRDATE_Y,female_respondent,partnership_marriage,0.9928
HERAGEFM,female_respondent,demographics_social,0.9928
HERAGEF,female_respondent,demographics_social,0.9868
WILLMARRF,female_respondent,partnership_marriage,0.9928
CFSPEDUCN,female_respondent,demographics_social,0.9857
CFSPMARBF,female_respondent,partnership_marriage,0.9857
SSKIDTOG,female_respondent,reproductive_timing,0.9857
WHMARHX_Y_1,female_respondent,partnership_marriage,0.5405
HXAGEMAR_1,female_respondent,demographics_social,0.5405
ENGAGHX_1,female_respondent,partnership_marriage,0.7035
CHEDMARN_1,female_respondent,partnership_marriage,0.5412
MARBEFHX_1,female_respondent,partnership_marriage,0.5412
KIDSHX_1,female_respondent,reproductive_timing,0.5412
KIDLIVHX_1,female_respondent,reproductive_timing,0.939
BIOHUSBX_1,female_respondent,partnership_marriage,0.8289
MARENDHX_1,female_respondent,partnership_marriage,0.8827
ENDMARRX_Y_1,female_respondent,partnership_marriage,0.8831
WHMARHX_Y_2,female_respondent,partnership_marriage,0.9418
HXAGEMAR_2,female_respondent,demographics_social,0.9418
ENGAGHX_2,female_respondent,partnership_marriage,0.9536
CHEDMARN_2,female_respondent,partnership_marriage,0.9604
MARBEFHX_2,female_respondent,partnership_marriage,0.9418
KIDSHX_2,female_respondent,reproductive_timing,0.9418
KIDLIVHX_2,female_respondent,reproductive_timing,0.9724
BIOHUSBX_2,female_respondent,partnership_marriage,0.9493
MARENDHX_2,female_respondent,partnership_marriage,0.9817
ENDMARRX_Y_2,female_respondent,partnership_marriage,0.9819
WHMARHX_Y_3,female_respondent,partnership_marriage,0.9909
HXAGEMAR_3,female_respondent,demographics_social,0.9909
ENGAGHX_3,female_respondent,partnership_marriage,0.993
CHEDMARN_3,female_respondent,partnership_marriage,0.9928
MARBEFHX_3,female_respondent,partnership_marriage,0.9909
KIDSHX_3,female_respondent,reproductive_timing,0.9909
KIDLIVHX_3,female_respondent,reproductive_timing,0.995
BIOHUSBX_3,female_respondent,partnership_marriage,0.9921
CMMARRCH,female_respondent,partnership_marriage,0.6305
PREVHUSB,female_respondent,partnership_marriage,0.0
CPHERAGE,female_respondent,demographics_social,0.8878
CPHISAGE,female_respondent,demographics_social,0.8878
CPENGAG1,female_respondent,partnership_marriage,0.8878
WILLMARR,female_respondent,partnership_marriage,0.8878
CPEDUC,female_respondent,demographics_social,0.8878
CPMARBEF,female_respondent,partnership_marriage,0.8878
CPKIDS,female_respondent,reproductive_timing,0.8878
CPKIDLIV,female_respondent,reproductive_timing,0.9706
EVRCOHAB,female_respondent,partnership_marriage,0.0
HERAGEC1,female_respondent,demographics_social,0.7977
HISAGEC1,female_respondent,demographics_social,0.7977
ENGAG1C1,female_respondent,partnership_marriage,0.7977
MAREVC1,female_respondent,partnership_marriage,0.7977
C1KIDS,female_respondent,reproductive_timing,0.7977
EVERSEX,female_respondent,contraception_sexual,0.7087
RHADSEX,female_respondent,contraception_sexual,0.0
YNOSEX,female_respondent,contraception_sexual,0.8278
LSTSEXFP_M,female_respondent,contraception_sexual,0.1847
LSTSEXFP_Y,female_respondent,contraception_sexual,0.2802
CMLSEXFP,female_respondent,contraception_sexual,0.1847
FPEDUC,female_respondent,demographics_social,0.9586
PTSB4MAR,female_respondent,partnership_marriage,0.5487
P1YLSEX_M,female_respondent,contraception_sexual,0.4003
P1YLSEX_Y,female_respondent,contraception_sexual,0.4003
CMLSEX1,female_respondent,contraception_sexual,0.3255
P1YLSEX_M2,female_respondent,contraception_sexual,0.92
P1YLSEX_Y2,female_respondent,contraception_sexual,0.92
