analysis_set,endpoint,method,top_group,top_n,top_events,top_weighted_prevalence,baseline_weighted_prevalence,top_prevalence_ratio,top_risk_difference,top_group_share,min_n_rule
full analytic cohort,contraceptive_vulnerability,SSL phenotype,P1,2224,238,0.1038013269058726,0.07810607985777983,1.3289788335924706,0.02569524704809277,0.4545268751277335,50
full analytic cohort,fertility_service_or_loss_help,SSL phenotype,P2,242,44,0.18555656033171047,0.11100773395980593,1.6715642569453535,0.07454882637190455,0.049458409973431434,50
full analytic cohort,unintended_mistimed_pregnancy_history,SSL phenotype,P2,242,181,0.7638836000050179,0.3420909272258648,2.2329840963617995,0.42179267277915306,0.049458409973431434,50
full analytic cohort,adverse_pregnancy_history_proxy,SSL phenotype,P2,242,48,0.22178735134672328,0.05375458533071529,4.125924327798588,0.168032766016008,0.049458409973431434,50
full analytic cohort,impaired_fecundity_status,SSL phenotype,P2,242,94,0.4102911449461803,0.2813104299924621,1.4584995833861345,0.1289807149537182,0.049458409973431434,50
full analytic cohort,contraceptive_vulnerability,Age x parity strata,15-24 / parity 1-2,120,19,0.1552457462758725,0.07810607985777983,1.987626911484396,0.07713966641809268,0.024524831391784182,50
full analytic cohort,fertility_service_or_loss_help,Age x parity strata,35-44 / parity 1-2,821,181,0.21458238031115145,0.11100773395980593,1.9330399122357385,0.10357464635134553,0.16779072143879012,50
full analytic cohort,unintended_mistimed_pregnancy_history,Age x parity strata,35-44 / parity 3+,400,326,0.8172599471565535,0.3420909272258648,2.3890138033884756,0.47516901993068866,0.08174943797261394,50
full analytic cohort,adverse_pregnancy_history_proxy,Age x parity strata,35-44 / parity 3+,400,62,0.15659385876100007,0.05375458533071529,2.913125602171143,0.10283927343028479,0.08174943797261394,50
full analytic cohort,impaired_fecundity_status,Age x parity strata,35-44 / parity 3+,400,196,0.5041969097793172,0.2813104299924621,1.7923150229190845,0.2228864797868551,0.08174943797261394,50
full analytic cohort,contraceptive_vulnerability,Age x ever-pregnant strata,25-34 / ever pregnant,1031,125,0.11957882423797705,0.07810607985777983,1.5309797195776982,0.04147274438019723,0.21070917637441242,50
full analytic cohort,fertility_service_or_loss_help,Age x ever-pregnant strata,35-44 / ever pregnant,1313,280,0.21645987848141846,0.11100773395980593,1.9499531317322,0.10545214452161253,0.26834253014510523,50
full analytic cohort,unintended_mistimed_pregnancy_history,Age x ever-pregnant strata,15-24 / ever pregnant,181,145,0.8196582188239782,0.3420909272258648,2.396024429735316,0.47756729159811334,0.036991620682607806,50
full analytic cohort,adverse_pregnancy_history_proxy,Age x ever-pregnant strata,35-44 / ever pregnant,1313,151,0.11561089939198677,0.05375458533071529,2.1507169794113707,0.061856314061271477,0.26834253014510523,50
full analytic cohort,impaired_fecundity_status,Age x ever-pregnant strata,35-44 / ever pregnant,1313,595,0.48003822011389613,0.2813104299924621,1.7064359118386017,0.19872779012143404,0.26834253014510523,50
ever-pregnant stratum,unintended_mistimed_pregnancy_history,SSL phenotype,P2,229,181,0.8003220796767584,0.6840133299372122,1.1700387180323262,0.11630874973954619,0.09069306930693069,50
ever-pregnant stratum,adverse_pregnancy_history_proxy,SSL phenotype,P2,229,48,0.2323669656929976,0.10748268949904073,2.161901295697215,0.12488427619395688,0.09069306930693069,50
ever-pregnant stratum,unintended_mistimed_pregnancy_history,Age x parity strata,15-24 / parity 0,50,41,0.8250655088141666,0.6840133299372122,1.206212617069761,0.14105217887695443,0.019801980198019802,50
ever-pregnant stratum,adverse_pregnancy_history_proxy,Age x parity strata,35-44 / parity 3+,400,62,0.15659385876100007,0.10748268949904073,1.4569216633009323,0.04911116926195934,0.15841584158415842,50
